TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
Gundam SEED Destiny,,,Japonés (Sub esp),51,4,"Acción, mecha, drama",
Gundam SEED Destiny Special Edition,,,Japonés (Sub esp),4 Peliculas,1,"Acción, mecha, drama",
"Gundam Unicorn, Mobile Suit",,,Japonés (Sub esp),7,1,"Acción, mecha, suspenso",
GYO - Tokyo Fish Attack,,,Japonés/inglés,Pelicula,1,"Horro, sci-fi, acción, gore",
Hadi Girl,,,Japonés (Sub esp),10,1,"Comedia, romance",
Haibane no Renmei,,,Japonés (Sub esp),13,1,"Misterio, suspenso, psicológico",
Haikyuu!,,,Japonés (Sub esp),25,2,"Deportes, slice of life",
Haiyore Nyaruko-san,,,Japonés (Sub esp),12,1,"Comedia, romance, ecchi",
Haiyore Nyaruko-san W,,,Japonés (Sub esp),12,1,"Comedia, romance, ecchi",
Hajime no Ippo,,Primera Temporada,Español,75,3,"Deportes, slice of life",
Hajime no Ippo Champion Road,,Pelicula,Japonés (Sub esp),Pelicula,1,"Deportes, slice of life",
Hajime no Ippo New Challenger,,Segunda Temporada,Japonés (Sub esp),26,2,"Deportes, slice of life",
Hajime no Ippo Rising,,Tercera Temporada,Japonés (Sub esp),25,2,"Deportes, slice of life",
Hakuoki Hekketsuroku,,Segunda Temporada,Japonés (Sub esp),10,1,"Samurai, tragedia romance, herem invertido",
Hakuoki Reimeiroku,,Tercera Temporada,Japonés (Sub esp),12,1,"Samurai, tragedia romance, herem invertido",
Hakuoki Sekkaroku,,OVAS,Japonés (Sub esp),6,1,"Samurai, tragedia romance, herem invertido",
Hakuoki Shinsengumi Kitan,,Primera Temporada,Japonés (Sub esp),12,1,"Samurai, tragedia romance, herem invertido",
Hakushaku to Yousei,,,Japonés (Sub esp),12,1,"Romance, fantasía, suspenso",
HAL,,,Japonés (Sub esp),Pelicula,1,"Romance, drama, fantasía",
HALO Legends,,,Japonés/Inglés,8 Peliculas,1,"Acción, aventura, espacial",
Hamatora,,Primera Temporada,Japonés (Sub esp),12,1,"Misterio, acción, sobrenatural",
Hanamonogatari,,Quinta Temporada,Japonés (Sub esp),5,1,"Sobrenatural, acción, suspenso, comedia",
Hanasakeru Seishounen,,,Japonés (Sub esp),39,3,"Drama, romance, harem invertido",
Hanbun no Tsuki ga Noboru Sora,Hantsuki,,Japonés (Sub esp),6,1,"Drama, romance, slice of life",
Hataraku no Maou-sama,,,Japonés (Sub esp),13,1,"Comedia, fantasía",
Hatsukoi Limited,,,Japonés (Sub esp),12,1,"Romance, drama, escolar, comedia",
Hayate no Gotoku,Hayate the Combat Butler,Primera Temporada,Japonés (Sub esp),52,3,"Comedia, Romance, Harem",
Hayate no Gotoku Cuties,,Cuarta temporada,Japonés (Sub esp),12,1,"Comedia, Romance, Harem",
